亜（亞）	ア	亜流，亜麻，亜熱帯	　
反	ハン　　ホン　　タン　そる　そらす	反映，反対，違反謀反反物反る，反り反らす	　
半	ハン　なかば	半分，半面，大半半ば	　
氾	ハン	氾濫	　
犯	ハン　おかす	犯罪，共犯，侵犯犯す	⇔侵す，冒す
帆	ハン　ほ	帆船，帆走，出帆帆，帆柱，帆前船	　
汎	ハン	汎用	　
伴	ハン　バン　ともなう	同伴，随伴伴奏，伴食伴う	　
判	ハン　バン	判定，判明，裁判Ａ判，大判	　
坂	ハン　さか	急坂坂，坂道，下り坂	　
阪	ハン	阪神，京阪	大阪（おおさか）府
板	ハン　バン　いた	乾板，鉄板黒板，掲示板板，板前	　
版	ハン	版画，写真版，出版	　
班	ハン	班長，救護班	　
畔	ハン	湖畔	　
般	ハン	諸般，一般，先般	　
販	ハン	販売，販路，市販	　
斑	ハン	斑点	　
飯	ハン　めし	御飯，炊飯，赤飯飯，飯粒，五目飯	　
搬	ハン	搬入，搬出，運搬	　
煩	ハン　　ボン　わずらう　わずらわす	煩雑煩悩煩う，煩い，煩わしい煩わす	⇔患う
頒	ハン	頒布，頒価	　
範	ハン	範囲，師範，模範	　
繁（繁）	ハン	繁栄，繁茂，繁華街	　
藩	ハン	藩主，廃藩	　
晩（晚）	バン	晩夏，今晩，早晩	　
番	バン	番人，番組，順番	　
蛮（蠻）	バン	蛮行，蛮人，野蛮	　
盤	バン	基盤，円盤，碁盤	　
比	ヒ　くらべる	比較，比例，無比比べる，背比べ	　
皮	ヒ　かわ	皮膚，皮相，樹皮皮，毛皮	⇔革
妃	ヒ	妃殿下，王妃	　
否	ヒ　いな	否定，適否，安否否，否めない	　
批	ヒ	批判，批評，批准	　
彼	ヒ　かれ　　かの	彼我，彼岸彼，彼ら彼女	　
披	ヒ	披見，披露，直披	　
肥	ヒ　こえる　こえ　こやす　こやし	肥大，肥料，施肥肥える肥，下肥肥やす肥やし	　
非	ヒ	非難，非常，是非	　
卑（卑）	ヒ　いやしい　いやしむ　いやしめる	卑近，卑屈，卑下卑しい，卑しさ卑しむ卑しめる	　
飛	ヒ　とぶ　とばす	飛行，飛躍，雄飛飛ぶ，飛び火飛ばす	⇔跳ぶ
疲	ヒ　つかれる	疲労，疲弊疲れる，疲れ	　
秘（祕）	ヒ　ひめる	秘密，秘書，神秘秘める	　
被	ヒ　こうむる	被服，被害，被告被る	　
悲	ヒ　かなしい　かなしむ	悲喜，悲劇，慈悲悲しい，悲しがる悲しむ，悲しみ	　
扉	ヒ　とびら	開扉，門扉扉	　
費	ヒ　ついやす　ついえる	費用，消費，旅費費やす費える，費え	　
碑（碑）	ヒ	碑銘，石碑，記念碑	　
罷	ヒ	罷業，罷免	　
避	ヒ　さける	避難，逃避，不可避避ける	　
尾	ビ　お	尾行，首尾，末尾尾，尾頭付き，尾根	尻尾（しっぽ）
眉	ビ　　ミ　まゆ	眉目，焦眉眉間眉毛	　
美	ビ　うつくしい	美醜，美術，賛美美しい，美しさ	　
備	ビ　そなえる　そなわる	備考，守備，準備備える，備え備わる	⇔供える
微	ビ	微細，微笑，衰微	　
鼻	ビ　はな	鼻音，鼻孔，耳鼻科鼻，鼻血，小鼻	　
膝	ひざ	膝，膝頭	　
肘	ひじ	肘，肘掛け	　
匹	ヒツ　ひき	匹敵，匹夫，馬匹数匹	　
必	ヒツ　かならず	必然，必死，必要必ず，必ずしも	　
泌	ヒツ　ヒ	分泌泌尿器	「分泌」は，「ブンピ」とも。
筆	ヒツ　ふで	筆力，筆記，毛筆筆，筆先	　
姫	ひめ	姫，姫松	　
百	ヒャク	百貨店，百科全書，数百	八百屋（やおや）八百長（やおちょう）
氷	ヒョウ　こおり　ひ	氷点，氷山，結氷氷氷雨	　
表	ヒョウ　おもて　あらわす　あらわれる	表面，代表，発表表，表門，裏表表す表れる	⇔面⇔現す，著す⇔現れる
俵	ヒョウ　たわら	一俵，土俵俵，米俵	　
票	ヒョウ	票決，投票，伝票	　
評	ヒョウ	評価，評判，定評	　
漂	ヒョウ　ただよう	漂着，漂白，漂流漂う	　
標	ヒョウ	標準，標本，目標	　
苗	ビョウ　なえ　　なわ	種苗，痘苗苗，苗木苗代	早苗（さなえ）
秒	ビョウ	秒針，秒速，寸秒	　
病	ビョウ　　ヘイ　やむ　やまい	病気，病根，看病疾病病む，病み付き病	　
描	ビョウ　えがく　かく	描写，素描，点描描く，描き出す描く，絵描き	⇔書く
猫	ビョウ　ねこ	愛猫猫	　
品	ヒン　しな	品評，作品，上品品，品物，手品	　
浜（濱）	ヒン　はま	海浜浜，浜辺，砂浜	　
貧	ヒン　ビン　まずしい	貧富，貧弱，清貧貧乏貧しい，貧しさ	　
賓（賓）	ヒン	賓客，主賓，来賓	　
頻（頻）	ヒン	頻度，頻発，頻繁	　
敏（敏）	ビン	敏速，機敏，鋭敏	　
瓶（甁）	ビン	瓶，瓶詰，花瓶	　
不	フ　ブ	不当，不利，不賛成不作法，不用心	　
夫	フ　　フウ　おっと	夫妻，農夫，凡夫夫婦，工夫夫	　
父	フ　ちち	父母，父兄，祖父父，父親	叔父・伯父（おじ）父（とう）さん
付	フ　つける　つく	付与，交付，給付付ける，名付け付く，気付く	⇔着ける，就ける⇔着く，就く
布	フ　ぬの	布陣，綿布，分布布，布地，布目	　
扶	フ	扶助，扶養，扶育	　
府	フ	府県，首府，政府	　
怖	フ　こわい	恐怖怖い，怖がる	　
阜	　フ		岐阜県
附	フ	附属，寄附	　
訃	フ	訃報	　
負	フ　まける　まかす　おう	負担，負傷，勝負負ける，負け負かす負う，負い目，背負う	　
赴	フ　おもむく	赴任赴く	　
浮	フ　うく　うかれる　うかぶ　うかべる	浮沈，浮力，浮薄浮く，浮き，浮世絵浮かれる浮かぶ浮かべる	浮気（うわき）浮（うわ）つく
婦	フ	婦人，夫婦，主婦	　
符	フ	符号，切符，音符	　
富	フ　　フウ　とむ　とみ	富強，富裕，貧富富貴富む，富み栄える富	富山（とやま）県「富貴」は，「フッキ」とも。
普	フ	普通，普遍，普請	　
腐	フ　くさる　くされる　くさらす	腐心，腐敗，陳腐腐る腐れ縁，ふて腐れる腐らす	　
敷	フ　しく	敷設敷く，敷石，屋敷	桟敷（さじき）
膚	フ	皮膚，完膚	　
賦	フ	賦役，月賦，天賦	　
譜	フ	系譜，楽譜，年譜	　
侮（侮）	ブ　あなどる	侮辱，軽侮侮る，侮り	　
武	ブ　ム	武力，武士，文武武者人形，荒武者	　
部	ブ	部分，全部，本部	部屋（へや）
舞	ブ　まう　まい	舞踏，舞台，鼓舞舞う，舞い上がる舞，舞扇	　
封	フウ　ホウ	封鎖，封書，密封封建的，素封家	　
風	フウ　　フ　かぜ　　かざ	風力，風俗，強風風情，中風風，そよ風風上，風車	風邪（かぜ）
伏	フク　ふせる　ふす	伏線，起伏，潜伏伏せる，うつ伏せ伏す，伏し拝む	　
服	フク	服装，服従，洋服	　
副	フク	副業，副作用，正副	　
幅	フク　はば	幅員，振幅，全幅幅，横幅	　
復	フク	復活，往復，報復	　
福（福）	フク	福祉，福徳，幸福	　
腹	フク　はら	腹案，空腹，山腹腹，腹芸，太っ腹	　
複	フク	複数，複雑，重複	　
覆	フク　おおう　くつがえす　くつがえる	覆面，転覆覆う，覆い覆す覆る	　
払（拂）	フツ　はらう	払暁，払底払う，払い，月払い	　
沸	フツ　わく　わかす	沸騰，沸点，煮沸沸く，沸き上がる沸かす，湯沸かし	⇔湧く
仏（佛）	ブツ　ほとけ	仏事，仏像，念仏仏，仏様，生き仏	　
物	ブツ　モツ　もの	物質，人物，動物食物，進物，禁物物，物語，品物	果物（くだもの）
粉	フン　こ　こな	粉末，粉砕，粉飾粉，小麦粉粉，粉雪	　
紛	フン　まぎれる　まぎらす　まぎらわす　まぎらわしい	紛失，紛争，内紛紛れる，紛れ紛らす紛らわす紛らわしい	　
雰	フン	雰囲気	　
噴	フン　ふく	噴火，噴出，噴水噴く，噴き出す	⇔吹く
墳	フン	墳墓，古墳	　
憤	フン　いきどおる	憤慨，義憤，発憤憤る，憤り	　
奮	フン　ふるう	奮起，奮発，興奮奮う，奮い立つ，奮って〔副〕	⇔震う，振るう
分	ブン　フン　ブ　わける　わかれる　わかる　わかつ	分解，自分，水分分別，分銅，三十分一分一厘，五分分ける，引き分け分かれる分かる分かつ，分かち合う	大分（おおいた）県⇔別れる 
文	ブン　モン　ふみ	文学，文化，作文文字，経文，天文学恋文	「文字」は，「モジ」とも。
聞	ブン　モン　きく　きこえる	新聞，風聞，見聞聴聞，前代未聞聞く，人聞き聞こえる，聞こえ	⇔聴く
丙	ヘイ	丙種，甲乙丙	　
平	ヘイ　ビョウ　たいら　ひら	平面，平和，公平平等平らな土地，平らげる平手，平謝り，平たい	　
兵	ヘイ　ヒョウ	兵器，兵隊，撤兵兵糧，雑兵	　
併（倂）	ヘイ　あわせる	併合，併用，合併併せる，併せて〔接〕	⇔合わせる
並（竝）	ヘイ　なみ　ならべる　ならぶ　ならびに	並行，並列，並立並の品，並木，足並み並べる，五目並べ並ぶ，並び並びに	　
柄	ヘイ　がら　え	横柄，権柄ずく柄，家柄，身柄柄	　
陛	ヘイ	陛下	　
閉	ヘイ　とじる　とざす　しめる　しまる	閉店，閉口，密閉閉じる，閉じ込める閉ざす閉める閉まる	⇔締める⇔締まる
塀（塀）	ヘイ	塀，板塀	　
幣	ヘイ	貨幣，紙幣，御幣担ぎ	　
弊	ヘイ	弊害，旧弊，疲弊	　
蔽	ヘイ	隠蔽	＊［（付）第２の３参照］
餅［餅］（餠）	ヘイ　もち	煎餅餅屋，尻餅	［餅］＝許容字体，＊［（付）第２の３【餌】参照］
米	ベイ　マイ　こめ	米作，米価，米食精米，新米，白米米，米粒	　
壁	ヘキ　かべ	壁面，壁画，岸壁壁，壁土，白壁	　
璧	ヘキ	完璧，双璧	　
癖	ヘキ　くせ	習癖，病癖，潔癖癖，口癖	　
別	ベツ　わかれる	別離，区別，特別別れる，別れ	⇔分かれる
蔑	ベツ　さげすむ	蔑視，軽蔑蔑む	　
片	ヘン　かた	紙片，破片，断片片方，片手，片一方	　
辺（邊）	ヘン　あたり　べ	辺境，周辺，その辺辺り海辺，岸辺	　
返	ヘン　かえす　かえる	返却，返事，返礼返す，仕返し返る，寝返り	⇔帰す⇔帰る
変（變）	ヘン　かわる　かえる	変化，異変，大変変わる，変わり種変える	⇔替わる，代わる，換わる⇔替える，代える，換える
偏	ヘン　かたよる	偏向，偏見，偏食偏る，偏り	　
遍	ヘン	遍歴，普遍，一遍	　
編	ヘン　あむ	編集，編成，長編編む，手編み	　
弁（辨）（瓣）（辯）	ベン	弁償，花弁，雄弁	　
便	ベン　ビン　たより	便利，便法，簡便便乗，郵便，定期便便り，初便り，花便り	　
勉（勉）	ベン	勉強，勉学，勤勉	　
歩（步）	ホ　ブ　　フ　あるく　あゆむ	歩道，徒歩，進歩歩合，日歩歩歩く歩む，歩み	　
保	ホ　たもつ	保護，保存，担保保つ	　
哺	ホ	哺乳類	　
捕	ホ　とらえる　とらわれる　とる　つかまえる　つかまる	捕獲，捕虜，逮捕捕らえる捕らわれる捕る，捕り物捕まえる捕まる	⇔捉える⇔取る，採る 
補	ホ　おぎなう	補欠，補充，候補補う，補い	　
舗	ホ	舗装，店舗	老舗（しにせ）
母	ボ　はは	母性，父母，祖母母，母親	乳母（うば）叔母・伯母（おば）母屋・母家（おもや）母（かあ）さん
募	ボ　つのる	募金，募集，応募募る	　
墓	ボ　はか	墓地，墓参，墓穴墓，墓参り	　
慕	ボ　したう	慕情，敬慕，思慕慕う，慕わしい	　
暮	ボ　くれる　くらす	暮春，歳暮，薄暮暮れる，暮れ暮らす，暮らし	　
簿	ボ	簿記，名簿，帳簿	　
方	ホウ　かた	方法，方角，地方お乗りの方，話し方，敵方	行方（ゆくえ）
包	ホウ　つつむ	包囲，包容力，内包包む，包み，小包	　
芳	ホウ　かんばしい	芳香，芳紀，芳志芳しい，芳しさ	　
邦	ホウ	邦楽，本邦，連邦	　
奉	ホウ　　ブ　たてまつる	奉納，奉仕，信奉奉行奉る	　
宝（寶）	ホウ　たから	宝石，国宝，財宝宝，宝船，子宝	　
抱	ホウ　だく　いだく　かかえる	抱負，抱懐，介抱抱く抱く抱える，一抱え	　
放	ホウ　はなす　はなつ　はなれる　ほうる	放送，放棄，追放放す，手放す放つ放れる放る	⇔離す⇔離れる 
法	ホウ　　ハッ　　ホッ	法律，文法，方法法度法主	「法主」は，「ホウシュ」とも。
泡	ホウ　あわ	気泡，水泡，発泡泡，泡立つ	　
胞	ホウ	胞子，同胞，細胞	　
俸	ホウ	俸給，年俸，本俸	　
倣	ホウ　ならう	模倣倣う	　⇔習う
峰	ホウ　みね	秀峰，霊峰，連峰峰，剣が峰	　
砲	ホウ	砲撃，大砲，鉄砲	　
崩	ホウ　くずれる　くずす	崩壊崩れる，山崩れ崩す	雪崩（なだれ）
訪	ホウ　おとずれる　たずねる	訪問，来訪，探訪訪れる，訪れ訪ねる	⇔尋ねる
報	ホウ　むくいる	報酬，報告，情報報いる，報い	　
蜂	ホウ　はち	蜂起蜜蜂	　
豊（豐）	ホウ　ゆたか	豊作，豊満，豊富豊かだ	　
飽	ホウ　あきる　あかす	飽和，飽食飽きる，飽き，見飽きる……に飽かして	　
褒（襃）	ホウ　ほめる	褒章，褒美，過褒褒める	　
縫	ホウ　ぬう	縫合，縫製，裁縫縫う，縫い目	　
亡	ボウ　　モウ　ない 	亡父，亡命，存亡亡者亡い，亡き人，亡くす，亡くなる 	多く文語の「亡き」で使う。⇔無い
乏	ボウ　とぼしい	欠乏，貧乏，耐乏乏しい，乏しさ	　
忙	ボウ　いそがしい	忙殺，多忙，繁忙忙しい，忙しさ	　
坊	ボウ　　ボッ	坊主，朝寝坊，赤ん坊坊ちゃん	　
妨	ボウ　さまたげる	妨害妨げる，妨げ	　
忘	ボウ　わすれる	忘却，忘年会，備忘忘れる，物忘れ	　
防	ボウ　ふせぐ	防備，堤防，予防防ぐ，防ぎ	　
房	ボウ　ふさ	独房，冷房，僧房房，一房，乳房	　
肪	ボウ	脂肪	　
某	ボウ	某氏，某国，某所	　
冒	ボウ　おかす	冒険，冒頭，感冒冒す	⇔犯す，侵す
剖	ボウ	解剖	　
紡	ボウ　つむぐ	紡績，混紡紡ぐ	　
望	ボウ　モウ　のぞむ	望郷，希望，人望所望，大望，本望望む，望み，望ましい	「大望」は，「タイボウ」とも。
傍	ボウ　かたわら	傍線，傍聴，路傍傍ら	　
帽	ボウ	帽子，脱帽，無帽	　
棒	ボウ	棒グラフ，棒読み，鉄棒	　
貿	ボウ	貿易	　
貌	ボウ	変貌，美貌	　
暴	ボウ　　バク　あばく　あばれる	暴言，横暴，乱暴暴露暴く，暴き出す暴れる，大暴れ	　
膨	ボウ　ふくらむ　ふくれる	膨大膨らむ，膨らみ膨れる，青膨れ	　
謀	ボウ　　ム　はかる	謀略，無謀，首謀者謀反謀る	⇔計る，量る，図る
頰	ほお	頰，頰張る	＊［（付）第２の３参照］「頰」は，「ほほ」とも。
北	ホク　きた	北進，北方，敗北北，北風，北半球	　
木	ボク　モク　き　　こ	木石，大木，土木木造，樹木，材木木，並木，拍子木木立，木陰	木綿（もめん）
朴	ボク	純朴，素朴	　
牧	ボク　まき	牧場，牧師，遊牧牧場	　
睦	ボク	親睦，和睦	　
僕	ボク	僕，公僕	　
墨（墨）	ボク　すみ	筆墨，白墨，遺墨墨，墨絵，眉墨	　
撲	ボク	撲殺，撲滅，打撲	相撲（すもう）
没	ボツ	没収，没交渉，出没	　
勃	ボツ	勃興，勃発	　
堀	ほり	堀，外堀，釣堀	　
本	ホン　もと	本質，本来，資本本，旗本	⇔下，元，基
奔	ホン	奔走，奔放，出奔	　
翻（飜）	ホン　ひるがえる　ひるがえす	翻意，翻訳，翻刻翻る翻す	　
凡	ボン　　ハン	凡人，凡百，平凡凡例	　
盆	ボン	盆栽，盆地，旧盆	　
麻	マ　あさ	麻薬，麻酔，亜麻麻	　
摩	マ	摩擦，摩天楼	　
磨	マ　みがく	研磨磨く，磨き粉	　
魔	マ	魔法，悪魔，邪魔	　
毎（每）	マイ	毎度，毎日，毎々	　
妹	マイ　いもうと	姉妹，義妹，令妹妹	　
枚	マイ	枚数，枚挙，大枚	　
昧	マイ	曖昧，三昧	　
埋	マイ　うめる　うまる　うもれる	埋没，埋蔵，埋葬埋める，埋め立て，穴埋め埋まる埋もれる，埋もれ木	　
幕	マク　バク	幕切れ，天幕，暗幕幕府，幕末，幕僚	　
膜	マク	膜質，鼓膜，粘膜	　
枕	まくら	枕，枕元	　
又	また	又，又は	　
末	マツ　バツ　すえ	末代，本末，粉末末子，末弟末，末っ子，末頼もしい	「末子」，「末弟」は，「マッシ」，「マッテイ」とも。
抹	マツ	抹殺，抹消，一抹	　
万（萬）	マン　バン	万一，万年筆，巨万万国，万端，万全	　
満（滿）	マン　みちる　みたす	満月，満足，充満満ちる，満ち潮満たす	　
慢	マン	慢性，怠慢，自慢	　
漫	マン	漫画，漫歩，散漫	　
未	ミ	未来，未満，前代未聞	　
味	ミ　あじ　あじわう	味覚，意味，興味味，味見，塩味味わう，味わい	三味線（しゃみせん）
魅	ミ	魅力，魅惑，魅する	　
岬	みさき	岬	　
密	ミツ	密約，厳密，秘密	　
蜜	ミツ	蜜，蜜月	　
脈	ミャク	脈絡，動脈，山脈	　
妙	ミョウ	妙案，奇妙，巧妙	　
民	ミン　たみ	民族，民主的，国民民	　
眠	ミン　ねむる　ねむい	不眠，安眠，睡眠眠る，眠り眠い，眠たい，眠気	　
矛	ム　ほこ	矛盾矛，矛先	　
務	ム　つとめる　つとまる	事務，職務，義務務める，務め務まる	⇔勤める，努める⇔勤まる
無	ム　ブ　ない	無名，無理，皆無無事，無礼，無愛想無い，無くす，無くなる	⇔亡い
夢	ム　ゆめ	夢幻，夢中，悪夢夢，夢見る，初夢	　
霧	ム　きり	霧笛，濃霧，噴霧器霧，霧雨，朝霧	　
娘	むすめ	娘，娘心，小娘	　
名	メイ　ミョウ　な 	名誉，氏名，有名名字，本名，大名名，名前 	仮名（かな）名残（なごり）
命	メイ　ミョウ　いのち	命令，運命，生命寿命命，命拾い	　
明	メイ　ミョウ　あかり　あかるい　あかるむ　あからむ　あきらか　あける　あく　あくる　あかす	明暗，説明，鮮明明日，光明，灯明明かり，薄明かり明るい，明るさ明るむ明らむ明らかだ明ける，夜明け明く明くる日，明くる朝明かす，種明かし	明日（あす）⇔開ける，空ける⇔開く，空く 
迷	メイ　まよう	迷路，迷惑，低迷迷う，迷い	迷子（まいご）
冥	メイ　ミョウ	冥福冥加，冥利	　
盟	メイ	加盟，同盟，連盟	　
銘	メイ	銘柄，碑銘	　
鳴	メイ　なく　なる　ならす	鳴動，悲鳴，雷鳴鳴く，鳴き声鳴る，耳鳴り鳴らす	　
滅	メツ　ほろびる　ほろぼす	滅亡，消滅，絶滅滅びる滅ぼす	　
免（免）	メン　まぬかれる	免許，免除，放免免れる	「まぬがれる」とも。
面	メン　おも　おもて　つら	面会，顔面，方面川の面，面影，面長面，細面面，面魂，鼻面	真面目（まじめ）⇔表
綿	メン　わた	綿布，綿密，純綿綿，真綿	木綿（もめん）
麺（麵）	メン	麺類	　
茂	モ　しげる	繁茂茂る，茂み	　
模	モ　ボ	模範，模型，模倣規模	　
毛	モウ　け	毛髪，毛細管，不毛毛，毛糸，抜け毛	　
妄	モウ　ボウ	妄信，妄想，迷妄妄言	「妄言」は，「モウゲン」とも。
盲	モウ	盲点，盲従，文盲	　
耗	モウ　　コウ	消耗心神耗弱	「モウ」は，慣用音。
猛	モウ	猛烈，猛獣，勇猛	猛者（もさ）
網	モウ　あみ	網膜，漁網，通信網網，網戸	投網（とあみ）
目	モク　　ボク　め　　ま	目的，目前，項目面目目，目立つ，結び目目の当たり，目深	「面目」は，「メンモク」とも。真面目（まじめ） 
黙（默）	モク　だまる	黙殺，暗黙，沈黙黙る，黙り込む	　
門	モン　かど	門戸，門下生，専門門，門口，門松	　
紋	モン	紋章，指紋，波紋	　
問	モン　とう　とい　　とん	問題，問答，訪問問う，問いただす問い問屋	「問屋」は，「といや」とも。
冶	ヤ	冶金，陶冶	鍛冶（かじ）
夜	ヤ　よ　よる	夜半，深夜，昼夜夜が明ける，夜風，月夜夜，夜昼	　
野	ヤ　の	野外，野性，分野野，野原，野放し	野良（のら）
弥（彌）	や		弥生（やよい）
厄	ヤク	厄，厄年，災厄	　
役	ヤク　エキ	役所，役目，荷役役務，使役，兵役	　
約	ヤク	約束，約半分，節約	　
訳（譯）	ヤク　わけ	訳文，翻訳，通訳訳，内訳，申し訳	　
薬（藥）	ヤク　くすり	薬剤，薬局，火薬薬，飲み薬	　
躍	ヤク　おどる	躍動，躍起，飛躍躍る，躍り上がる	⇔踊る
闇	やみ	闇夜，暗闇	　
由	ユ　ユウ　　ユイ　よし	由来，経由自由，理由，事由由緒……の由	　
油	ユ　あぶら	油脂，油田，石油油，油絵，水油	⇔脂
喩	ユ	比喩	＊［（付）第２の３参照］
愉	ユ	愉快，愉悦	　
諭	ユ　さとす	諭旨，教諭，説諭諭す，諭し	　
輸	ユ	輸出，輸送，運輸	　
癒	ユ　いえる　いやす	癒着，治癒，平癒癒える癒やす	　
唯	ユイ　　イ	唯一，唯物論，唯美主義唯々諾々	　
友	ユウ　とも	友好，友情，親友友	友達（ともだち）
有	ユウ　ウ　ある	有益，所有，特有有無，有象無象有る，有り金	⇔在る
勇	ユウ　いさむ	勇敢，勇気，武勇勇む，勇み足，勇ましい	　
幽	ユウ	幽境，幽玄，幽霊	　
悠	ユウ	悠然，悠長，悠々	　
郵	ユウ	郵便，郵送，郵券	　
湧	ユウ　わく	湧水，湧出湧く	⇔沸く
猶	ユウ	猶予	　
裕	ユウ	裕福，富裕，余裕	　
遊	ユウ　　ユ　あそぶ	遊戯，遊離，交遊遊山遊ぶ，遊び	　
雄	ユウ　お　おす	雄大，英雄，雌雄雄しべ，雄牛，雄々しい雄，雄犬	　
誘	ユウ　さそう	誘惑，誘発，勧誘誘う，誘い水	　
憂	ユウ　うれえる　うれい　うい	憂愁，憂慮，一喜一憂憂える，憂え憂い憂い，憂き目，物憂い	⇔愁える⇔愁い「憂き」は，文語の連体形。
融	ユウ	融解，融和，金融	　
優	ユウ　やさしい　すぐれる	優越，優柔，俳優優しい，優しさ優れる	　
与（與）	ヨ　あたえる	与党，授与，関与与える	　
予（豫）	ヨ	予定，予備，猶予	　
余（餘）	ヨ　あまる　あます	余剰，余地，残余余る，余り余す	　
誉（譽）	ヨ　ほまれ	名誉，栄誉誉れ	　
預	ヨ　あずける　あずかる	預金，預託預ける預かる，預かり	　
幼	ヨウ　おさない	幼児，幼虫，幼稚幼い，幼友達	　
用	ヨウ　もちいる	用意，使用，費用用いる	　
羊	ヨウ　ひつじ	羊毛，綿羊，牧羊羊	　
妖	ヨウ　あやしい	妖怪，妖艶妖しい	⇔怪しい
洋	ヨウ	洋楽，洋風，海洋	　
要	ヨウ　かなめ　いる	要点，要注意，重要要要る	⇔入る
容	ヨウ	容易，容器，形容	　
庸	ヨウ	凡庸，中庸	　
揚	ヨウ　あげる　あがる	意気揚々，抑揚，掲揚揚げる，荷揚げ揚がる	⇔上げる，挙げる⇔上がる，挙がる
揺（搖）	ヨウ　ゆれる　ゆる　ゆらぐ　ゆるぐ　ゆする　ゆさぶる　ゆすぶる	動揺揺れる，揺れ揺り返し，揺り籠揺らぐ揺るぐ，揺るぎない揺する，貧乏揺すり揺さぶる揺すぶる	　
葉	ヨウ　は	葉緑素，落葉，紅葉葉，枯れ葉，落ち葉	紅葉（もみじ）
陽	ヨウ	陽光，陰陽，太陽	　
溶	ヨウ　とける　とかす　とく	溶解，溶液，水溶液溶ける溶かす溶く	⇔解ける⇔解かす⇔解く
腰	ヨウ　こし	腰痛，腰部腰，腰だめ，物腰	　
様（樣）	ヨウ　さま	様式，様子，模様様，○○様	　
瘍	ヨウ	潰瘍，腫瘍	　
踊	ヨウ　おどる　おどり	舞踊踊る踊り	⇔躍る
窯	ヨウ　かま	窯業窯	　
養	ヨウ　やしなう	養育，養子，休養養う	　
擁	ヨウ	擁護，擁立，抱擁	　
謡（謠）	ヨウ　うたい　うたう	謡曲，民謡，歌謡謡，素謡謡う	⇔歌う
曜	ヨウ	曜日，七曜表，日曜	　
抑	ヨク　おさえる	抑圧，抑制，抑揚抑える，抑え	⇔押さえる
沃	ヨク	肥沃	　
浴	ヨク　あびる　あびせる	浴場，海水浴浴びる，水浴び浴びせる	浴衣（ゆかた）
欲	ヨク　ほっする　ほしい	欲望，食欲，無欲欲する欲しい，欲しがる	　
翌	ヨク	翌春，翌年，翌々日	　
翼	ヨク　つばさ	左翼，尾翼翼	　
拉	ラ	拉致	　
裸	ラ　はだか	裸身，裸体，赤裸々裸，丸裸	　
羅	ラ	羅列，羅針盤，網羅	　
来（來）	ライ　くる　きたる　きたす	来年，来歴，往来来る，出来心来る○日来す	　
雷	ライ　かみなり	雷雨，雷名，魚雷雷	　
頼（賴）	ライ　たのむ　たのもしい　たよる	依頼，信頼，無頼漢頼む，頼み頼もしい頼る，頼り	　
絡	ラク　からむ　からまる　からめる	連絡，脈絡絡む，絡み付く絡まる絡める	　
落	ラク　おちる　おとす	落語，落涙，集落落ちる，落ち着く落とす，力落とし	　
酪	ラク	酪農	　
辣	ラツ	辣腕，辛辣	　
乱（亂）	ラン　みだれる　みだす	乱戦，混乱，反乱乱れる，乱れ乱す	　
卵	ラン　たまご	卵黄，鶏卵，産卵卵	　
覧（覽）	ラン	観覧，展覧，一覧	　
濫	ラン	濫伐，濫費，濫用	　
藍	ラン　あい	出藍藍色，藍染め	　
欄（欄）	ラン	欄干，欄外，空欄	　
吏	リ	吏員，官吏，能吏	　
利	リ　きく	利益，鋭利，勝利利く，左利き，口利き	砂利（じゃり）⇔効く
里	リ　さと	里程，郷里，千里眼里，里心，村里	　
理	リ	理科，理由，整理	　
痢	リ	疫痢，下痢，赤痢	　
裏	リ　うら	裏面，表裏裏，裏口	　
履	リ　はく	履歴，履行，弊履履く，履物	草履（ぞうり）
璃	リ	浄瑠璃	　
離	リ　はなれる　はなす	離別，距離，分離離れる，離れ，乳離れ離す	⇔放れる⇔放す
陸	リク	陸地，陸橋，着陸	　
立	リツ　　リュウ　たつ　たてる	立案，起立，独立建立立つ，立場，夕立立てる，立て札	立ち退く（たちのく）⇔建つ⇔建てる
律	リツ　　リチ	律動，規律，法律律儀	　
慄	リツ	慄然，戦慄	　
略	リャク	略称，計略，侵略	　
柳	リュウ　やなぎ	花柳界，川柳柳，柳腰	　
流	リュウ　　ル　ながれる　ながす	流行，流動，電流流布，流転，流罪流れる，流れ流す，流し	　
留	リュウ　　ル　とめる　とまる	留意，留学，保留留守留める，帯留め留まる，歩留まり	⇔止める，泊める⇔止まる，泊まる
竜（龍）	リュウ　たつ	竜，竜頭蛇尾竜巻	　
粒	リュウ　つぶ	粒子，粒々辛苦粒，豆粒	　
隆（隆）	リュウ	隆起，隆盛，興隆	　
硫	リュウ	硫安，硫酸，硫化銀	硫黄（いおう）
侶	リョ	僧侶，伴侶	　
旅	リョ　たび	旅行，旅情，旅券旅，旅先，船旅	　
虜（虜）	リョ	虜囚，捕虜	　
慮	リョ	遠慮，考慮，無慮	　
了	リョウ	了解，完了，校了	　
両（兩）	リョウ	両親，両立，千両	　
良	リョウ　　よい	良好，良心，優良良い	野良（のら）奈良（なら）県⇔善い
料	リョウ	料金，料理，材料	　
涼	リョウ　すずしい　すずむ	涼味，清涼剤，納涼涼しい，涼しさ涼む，夕涼み	　
猟（獵）	リョウ	猟師，狩猟，渉猟	　
陵	リョウ　みささぎ	陵墓，丘陵陵	　
